Program Time [s];data 0
6.19199;0
6.24511;0
6.29426;0
6.34748;0
6.40087;0
6.44989;0
6.5032;0
6.55231;0
6.60564;0
6.65474;0
6.70793;0
6.76119;0
6.81035;0
6.86363;0
6.91275;0
6.966;0
7.01926;0
7.06837;0
7.12171;0.01
7.17077;0
7.22402;0
7.27316;0
7.32641;0
7.37971;0
7.42886;0
7.48206;0
7.53127;0
7.58444;0
7.63366;0
7.68683;0
7.74006;0
7.78924;0.01
7.84246;0
7.8917;0
7.94491;0
7.99813;0
8.04731;0
8.10053;-0.02
8.14968;0.01
8.20296;0
8.25614;0
8.30531;0
8.35855;0
8.40772;0
8.46092;0
8.51016;0
8.56335;0
8.61662;0
8.66576;0
8.71899;0
8.76816;0
8.82139;0
8.87473;0
8.92384;0
8.97702;0
9.02619;0
9.07944;0
9.12861;0
9.18182;0
9.23508;0
9.28422;0
9.33747;0
9.38671;0
9.4399;0
9.48906;0
9.54235;0
9.59551;0
9.64469;0
9.69791;0.01
9.74706;0
9.80028;0
9.85353;0
9.90272;0
9.95591;0
10.0092;-0.02
10.0583;0
10.1076;0
10.1607;0
10.214;0
10.2631;0
10.3163;0
10.3656;0
10.4188;0
10.472;0.01
10.5212;0
10.5744;0
10.6236;0
10.6768;0
10.726;0
10.7792;0
10.8324;0
10.8816;0
10.9349;0
10.984;0
11.0373;-0.02
11.0905;0
11.1397;0
11.1929;-0.02
11.242;0
11.2953;0
11.3444;0
11.3977;0
11.4509;0
11.5001;0
11.5533;0
11.6025;0
11.6557;0
11.7089;0
11.7581;0
11.8113;0
11.8605;0
11.9138;0
11.9629;0
12.0162;0
12.0693;0
12.1185;0
12.1718;0
12.225;-0.02
12.2742;0.01
12.3274;0
12.3765;0
12.4299;0
12.479;0
12.5323;0
12.5814;0
12.6346;0
12.6878;0
12.737;0
12.7902;0
12.8435;-0.02
12.8927;0
12.9459;0
12.9951;0
13.0483;0.01
13.1015;-0.02
13.1507;0.01
13.2039;0
13.2531;0
13.3063;0
13.3555;0
13.4087;0.01
13.4579;0
13.5112;0
13.5643;0
13.6135;0
13.6667;0
13.7159;0
13.7691;0
13.8224;0.01
13.8715;0
13.9248;0
13.974;0
14.0272;0
14.0764;0
14.1296;0
14.1828;0
14.232;0
14.2852;0
14.3344;0
14.3877;0
14.4408;0
14.49;0
14.5432;0.01
14.5924;0
14.6457;0
14.6948;0
14.7481;0
14.8013;0
14.8504;0
14.9037;0
14.953;0.01
15.006;0
15.0593;0
15.1085;0
15.1617;0.01
15.2109;0
15.2641;0
15.3133;0
15.3665;0
15.4198;0
15.4689;0
15.5222;0
15.5716;0
15.6245;0
15.6777;-0.02
15.7269;0
15.7802;0
15.8293;0
15.8826;0
15.9318;0
15.985;0
16.0382;0
16.0874;0
16.1406;0
16.1898;0
16.243;0
16.2962;0
16.3454;0
16.3987;0
16.4478;0
16.501;0
16.5502;0
16.6034;0
16.6566;0
16.7058;0
16.7591;0
16.8082;0.01
16.8615;0
16.9149;0
16.964;0
17.0171;0
17.0663;0
17.1195;0
17.1687;0
17.2219;0
17.2751;0
17.3243;0
17.3776;0
17.4267;0.01
17.4799;0
17.5332;0
17.5823;0
17.6356;0
17.6848;0
17.738;0
17.7871;0
17.8404;0
