Program Time [s];data 0
3.69326;-0.02
3.6933;0
3.69333;-0.02
3.69335;-0.02
3.69338;-0.02
3.69341;-0.02
3.69344;-0.02
3.69345;4
3.69348;-0.02
3.69351;0
3.69353;-0.02
3.69356;-0.02
3.69359;-0.02
3.69362;-0.02
3.69365;-0.02
5.35259;0
5.40576;0
5.45494;0
5.50817;-0.02
5.5614;0
5.61057;0
5.66383;0
5.71301;0.01
5.7663;0
5.81944;0
5.86857;0
5.92184;0
5.97105;0
6.02425;0
6.0734;0
6.12664;0
6.17997;0
6.22905;0
6.28226;-0.02
6.33151;0
6.38467;0
6.43793;0
6.4871;0
6.54031;0
6.58944;0
6.64274;0.01
6.69199;0
6.74513;0.01
6.79834;0
6.84753;0
6.90074;0
6.94989;0
7.00314;0
7.05638;0
7.10553;0
7.15884;0
7.20795;0
7.26115;0
7.31034;0
7.36358;0
7.41677;0
7.46596;0
7.51919;0
7.56838;0
7.62163;0
7.67486;0
7.72409;0
7.77723;0
7.82647;0
7.87962;0
7.92883;0.01
7.98204;0
8.03528;0
8.08445;-0.02
8.13772;-0.02
8.18683;0.01
8.24006;0
8.29331;0
8.34248;0
8.39568;-0.02
8.44485;0
8.49809;0
8.54728;0
8.60048;0
8.65382;0
8.70299;0
8.75616;0
8.80529;0
8.85851;0
8.91176;0
8.96089;0
9.01414;0
9.06333;0
9.1166;0
9.16575;0
9.21907;0
9.27223;0
9.32141;0
9.3746;0
9.42377;0
9.47703;0
9.53023;0
9.5794;0
9.6327;0.01
9.68185;0
9.73504;0
9.78427;0
9.83745;0
9.89065;0
9.93986;0
9.99309;0
10.0422;0
10.0955;0
10.1489;0
10.1979;0
10.2512;0
10.3003;0
10.3535;0
10.4027;0
10.4559;0
10.5091;0
10.5583;0
10.6116;0
10.6607;0
10.714;0
10.7672;0
10.8164;0
10.8696;-0.02
10.9187;0
10.972;0
11.0211;0
11.0744;0
11.1276;0
11.1768;0
11.23;0
11.2792;0
11.3324;0
11.3856;0
11.4348;0
11.488;0
11.5372;0
11.5904;0
11.6396;0
11.6928;0
11.7462;0
11.7953;0
11.8485;0
11.8976;0
11.9509;0
12.0041;0
12.0533;0
12.1065;0
12.1557;0
12.2092;0
12.2581;0
12.3113;0
12.3645;0
12.4137;0
12.4669;0
12.5161;0
12.5693;0
12.6185;0
12.6718;0
12.725;0
12.7742;0
12.8274;0
12.8765;0
12.9298;0
12.983;0
13.0322;0
13.0854;0
13.1345;0
13.1878;0
13.2371;0
13.2902;0
13.3434;0
13.3926;0
13.4458;0
13.4991;-0.02
13.5482;0
